Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,1185,0,5,2,7
Portugal,402,0,0,0,34
Spain,1196,0,11,2,0
United States,395,0,4,19,1
Canada,287,7,1,2,0
Sweden,28,0,0,0,0
Italy,192,1,18,19,4
France,498,1,1,2,1
Belgium,117,0,2,1,0
Australia,12,0,2,8,0
Germany,1054,0,18,18,14
Netherlands,257,0,0,1,0
Israel,42,0,3,5,0
Switzerland,83,0,0,3,0
Greece,3,0,2,2,0
Austria,37,0,2,1,0
Argentina,6,0,0,5,1
Denmark,18,0,0,3,1
Morocco,1,0,0,1,0
Slovenia,9,0,0,2,0
Scotland,34,0,1,1,0
Czech Republic,8,0,1,2,0
United Arab Emirates,13,0,0,1,0
Finland,4,0,0,3,0
Wales,10,0,0,0,0
Northern Ireland,6,0,0,0,0
Sudan,0,1,0,0,0
Bolivia,0,1,1,0,1
Iran,0,3,0,0,0
Ecuador,0,0,1,0,0
Malta,4,0,0,1,0
Ireland,39,0,0,0,0
Mexico,11,0,0,2,0
Pakistan,0,1,1,0,0
French Guiana,0,0,0,0,0
Thailand,0,0,0,0,0
Peru,3,0,1,1,0
Brazil,37,21,2,16,3
Malaysia,0,0,0,0,0
Hungary,19,0,0,0,0
Norway,17,0,0,3,0
Paraguay,0,1,0,1,0
Costa Rica,0,0,0,1,0
Gibraltar,1,0,1,0,0
Mauritius,0,0,0,2,1
Haiti,0,1,0,0,0
Uruguay,0,1,0,4,0
Latvia,2,0,0,1,0
Cayman Islands,0,1,0,0,0
Kosovo,0,0,1,0,0
Turkey,1,0,0,0,0
Bahamas,0,0,0,1,0
Ghana,18,0,0,0,0
India,0,0,0,0,0
Iceland,4,0,0,1,0
Poland,12,0,1,0,0
Bangladesh,0,0,0,0,0
Uganda,0,6,0,0,0
Cambodia,0,0,0,0,0
Malawi,0,0,0,0,0
Venezuela,1,0,0,1,0
Romania,11,0,2,0,0
Georgia,1,0,0,0,0
Slovakia,0,0,1,1,0
Luxembourg,3,0,0,0,0
Nepal,0,0,1,1,0
Chile,6,1,1,2,0
Serbia,1,0,0,0,0
Lebanon,1,0,0,1,0
South Korea,1,0,1,1,0
Singapore,1,0,0,0,0
South Africa,2,0,0,0,2
Taiwan,1,0,0,1,0
Colombia,3,0,0,2,0
Croatia,1,0,0,1,0
Bulgaria,3,0,0,2,0
Somalia,0,3,3,1,0
Zambia,0,1,0,1,0
Fiji,0,0,0,0,0
Benin,3,0,0,2,1
Estonia,1,0,0,1,0
Puerto Rico,1,0,0,0,0
